#,Variable,Type,Label,Calculated,Source, Definition- From IPEDS glossary and Data Dictionary unless variable is calculated,New/Revised Variable,,,,,
1,groupid,Num,Group ID,No,,"This variable is used in the creation of matched sets, determined by the flags variable. If the GroupID is negative it represents a single institution; if the GroupID is positive it represents a group of institutions.",,,,,,
2,academicyear,Num,Academic Year,No,,"The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 calendar system. Academic year is displayed as the end year (i.e. academic year 2010 includes data for 2009-2010).",,,,,,
3,unitid_linchpin,Num,Unit ID Linchpin,No,,The unit id is the primary (parent) id for a group of institutions or the unit id of the individual institution.,,,,,,
4,unitid,Num,Unit ID,No,Institutional Characteristics,Unique identification number assigned to postsecondary institutions surveyed through the Integrated Postsecondary Education Data System (IPEDS). Also referred to as UNITID or IPEDS ID.,,,,,,
5,isgrouped,Num,Institution is grouped,Yes,,"Institutions are grouped together based on how they report financial data. If an institution has a ""parent"" institution and does not report their own financial data they are grouped with the parent institution. ",,,,,,
6,instname,Char,Institution Name,No,Institutional Characteristics,Name of the institution.,,,,,,
7,TCSName,Char,Institution/Group name in TCS Online,No,,"Name of the institution as it appears in TCS Online. In some cases, clarifying information has been added to the standard IPEDS institution names, such as state for institutions with the same name, or system name for grouped institutions. Only institutions that appear in TCS Online will have a TCSname (public and private nonprofit research, master's, bachelor's, and public community colleges within the U.S.).",,,,,,
8,city,Char,City,No,Institutional Characteristics,City where the institution is located.,,,,,,
9,state,Char,State,No,Institutional Characteristics,The state (abbreviation) where the institution is located.,,,,,,
10,zip,Char,Zip,No,Institutional Characteristics,"ZIP code - if includes ZIP+4, does not include dash (-), e.g., 060102301. If ZIP+4 not reported, the last four positions will be blank.",,,,,,
11,ansi_code,Num,ANSI code,No,U.S. Census Bureau,Numeric value assiged to states and territories.  ,,,,,,
12,sector,Num,Sector of Institution,No,Institutional Characteristics,"One of nine institutional categories resulting from dividing the universe according to control and level. Control categories are public, private not-for-profit, and private for-profit. Level categories are 4-year and higher, 2-but-less-than 4-year, and less than 2-year. ",,,,,,
13,sector_revised,Num,Sector of Institution (Revised),Yes,Institutional Characteristics,"Based on the ""Sector"" variable but revised to move public 4-year institutions which do not grant bachelor's degrees into the public 2-year sector.  ",,,,,,
14,iclevel,Num,Level of Institution,No,Institutional Characteristics,A classification of an institution’s programs. ,,,,,,
15,control,Num,Control,No,Institutional Characteristics,A classification of whether an institution is operated by publicly elected or appointed officials (public control) or by privately elected or appointed officials and derives its major source of funds from private sources (private control). ,,,,,,
16,oberegion,Num,Geographic Region,No,Institutional Characteristics,Geographic region code. ,,,,,,
17,census_division,Num,Census Division,No,U.S. Census Bureau,Census Division code. ,,,,,,
18,census_region,Num,Census Region,No,U.S. Census Bureau,Census Region code. ,,,,,,
19,region_compact,Num,Regional Compact,No,Regional Compact websites,Higher Education Regional Compact membership.  ,,,,,,
20,carnegie2000,Num,Carnegie Classification 2000,No,Institutional Characteristics,The 2000 Carnegie Classification includes all colleges and universities in the United States that are degree-granting and accredited by an agency recognized by the U.S. Secretary of Education. The 2000 edition classifies institutions based on their degree-granting activities from 1995-96 through 1997-98. ,,,,,,
21,carnegiegrp_2000,Num,Carnegie Classification 2000 (First-digit only),Yes,Institution Characterstics,A collapsed version of the Carnegie Classification 2000. ,,,,,,
22,carnegie_sector_2000,Num,Carnegie Classification by Sector,Yes,Institutional Characteristics,"The groupings created by the interaction of carnegiegrp_2000 and sector_revised. 
",,,,,,
23,carnegie2005,Num,Carnegie Classification 2005,Yes,Institutional Characteristics,"The 2005 Carnegie Classification includes all colleges and universities in the United States that are degree-granting and accredited by an agency recognized by the U.S. Secretary of Education. The 2005 edition classifies institutions based on their degree-granting activities from the fall of 2003 through the spring of 2004.         
",,,,,,
24,carnegiegrp_2005,Num,Carnegie Classification 2005 (Collapsed),Yes,Institutional Characteristics,A collapsed version of the Carnegie Classification 2005.  ,,,,,,
25,carnegie_sector_2005,Num,Carnegie Classification 2005 by Sector,Yes,Institutional Characteristics,"The groupings created by the interaction of CarnegieGrp_2005 and Sector_revised. 
",,,,,,
