Lexie's opinion!,,class,label,description
,0,completion.title_iv.independ.transf_withdrawn_4yr_by.3yrs,IND_WDRAW_4YR_TRANS_YR3_RT,Percent of independent students who transferred to a 4-year institution and withdrew within 3 years
,1,completion.3_yr_completion.first_generation_students,FIRSTGEN_YR3_N,Number of first-generation students in overall 3-year completion cohort
,2,completion.title_iv.no_pell.unknown_by.3yrs,NOPELL_UNKN_ORIG_YR3_RT,Percent of students who never received a Pell Grant at the institution and with status unknown within 3 years at original institution
,3,completion.6_yr_completion.no_first_generation_students,NOT1STGEN_YR6_N,Number of not-first-generation students in overall 6-year completion cohort
,4,student.demographics.race_ethnicity.non_resident_alien,UGDS_NRA,Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens
,5,aid.median_debt.number.female_students,FEMALE_DEBT_N,The number of students in the median debt female students cohort
,6,completion.title_iv.transf_completed_2yr_by.3yrs,COMP_2YR_TRANS_YR3_RT,Percent who transferred to a 2-year institution and completed within 3 years
,7,completion.title_iv.female.transf_withdrawn_2yr_by.3yrs,FEMALE_WDRAW_2YR_TRANS_YR3_RT,Percent of female students who transferred to a 2-year institution and withdrew within 3 years
,8,repayment.3_yr_repayment.income.30000_75000,MD_INC_RPY_3YR_RT,"Three-year repayment rate by family income ($30,000-75,000)"
,9,completion.title_iv.mid_inc.transf_still_enrolled_4yr_by.4yrs,MD_INC_ENRL_4YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 4 years"
,10,completion.title_iv.mid_inc.unknown_by.2yrs,MD_INC_UNKN_ORIG_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 2 years at original institution"
,11,completion.title_iv.no_loan.transf_completed_2yr_by.4yrs,NOLOAN_COMP_2YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 4 years
,12,completion.title_iv.depend.unknown_by.8yrs,DEP_UNKN_ORIG_YR8_RT,Percent of dependent students with status unknown within 8 years at original institution
,13,completion.title_iv.mid_inc.still_enrolled_by.4yrs,MD_INC_ENRL_ORIG_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 4 years"
,14,academics.program.certificate_lt_1_yr.history,CIP54CERT1,Certificate of less than one academic year in History.
,15,cost.net_price.other_acad_calendar.by_income_level.30001-48000,NPT42_OTHER,"Average net price for $30,001-$48,000 family income (other academic calendar institutions)"
,16,student.demographics.race_ethnicity.unknown_2000,UG_UNKN,Total share of enrollment of undergraduate students whose race is unknown
,17,completion.title_iv.depend.withdrawn_by.4yrs,DEP_WDRAW_ORIG_YR4_RT,Percent of dependent students withdrawn from original institution within 4 years
,18,completion.title_iv.no_pell.completed_by.6yrs,NOPELL_COMP_ORIG_YR6_RT,Percent of students who never received a Pell Grant at the institution and who completed in 6 years at original institution
,19,completion.title_iv.pell_recip.transf_withdrawn_4yr_by.3yrs,PELL_WDRAW_4YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 3 years
,20,admissions.act_scores.25th_percentile.math,ACTMT25,25th percentile of the ACT math score
,21,completion.title_iv.transf_unknown_2yr_by.3yrs,UNKN_2YR_TRANS_YR3_RT,Percent who transferred to a 2-year institution and whose status is unknown within 3 years
,22,completion.title_iv.independ.still_enrolled_by.6yrs,IND_ENRL_ORIG_YR6_RT,Percent of independent students who were still enrolled at original institution within 6 years
,23,completion.title_iv.no_loan.transf_still_enrolled_4yr_by.3yrs,NOLOAN_ENRL_4YR_TRANS_YR3_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 3 years
,24,earnings.6_yrs_after_entry.mean_earnings.lowest_tercile,mn_earn_wne_inc1_p6,Mean earnings of students working and not enrolled 6 years after entry in the lowest income tercile
,25,completion.title_iv.female.transf_unknown_2yr_by.2yrs,FEMALE_UNKN_2YR_TRANS_YR2_RT,Percent of female students who transferred to a 2-year institution and whose status is unknown within 2 years
,26,completion.title_iv.female.transf_completed_2yr_by.6yrs,FEMALE_COMP_2YR_TRANS_YR6_RT,Percent of female students who transferred to a 2-year institution and completed within 6 years
,27,student.family_income.dependent_students,DEP_INC_N,Number of students in the family income dependent students cohort
,28,completion.title_iv.mid_inc.transf_still_enrolled_2yr_by.8yrs,MD_INC_ENRL_2YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 8 years"
,29,completion.title_iv.independ.transf_completed_2yr_by.6yrs,IND_COMP_2YR_TRANS_YR6_RT,Percent of independent students who transferred to a 2-year institution and completed within 6 years
,30,completion.title_iv.independ.transf_withdrawn_2yr_by.3yrs,IND_WDRAW_2YR_TRANS_YR3_RT,Percent of independent students who transferred to a 2-year institution and withdrew within 3 years
,31,completion.title_iv.pell_recip.unknown_by.8yrs,PELL_UNKN_ORIG_YR8_RT,Percent of students who received a Pell Grant at the institution and with status unknown within 8 years at original institution
,32,completion.title_iv.first_gen.transf_withdrawn_2yr_by.6yrs,FIRSTGEN_WDRAW_2YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 2-year institution and withdrew within 6 years
,33,academics.program_percentage.library,PCIP25,Percentage of degrees awarded in Library Science.
,34,academics.program.certificate_lt_4_yr.architecture,CIP04CERT4,Award of more than two but less than four academic years in Architecture And Related Services.
,35,completion.title_iv.no_loan.unknown_by.6yrs,NOLOAN_UNKN_ORIG_YR6_RT,Percent of students who never received a federal loan at the institution and with status unknown within 6 years at original institution
,36,student.demographics.avg_family_income,faminc,Average family income
,37,completion.completion_rate_l4yr_150_nhpi,C150_L4_NHPI,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for Native Hawaiian/Pacific Islander students"
,38,completion.completion_rate_4yr_150_white_pre2010,C150_4_WHITENH,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for white students"
,39,completion.title_iv.high_inc.completed_by.2yrs,HI_INC_COMP_ORIG_YR2_RT,"Percent of high-income (above $75,000 in nominal family income) students who completed within 2 years at original institution"
,40,earnings.7_yrs_after_entry.percent_greater_than_25000,gt_25k_p7,"Share of students earning over $25,000/year (threshold earnings) 7 years after entry"
,41,completion.title_iv.independ.transf_withdrawn_2yr_by.8yrs,IND_WDRAW_2YR_TRANS_YR8_RT,Percent of independent students who transferred to a 2-year institution and withdrew within 8 years
,42,academics.program.assoc.security_law_enforcement,CIP43ASSOC,"Associate degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
,43,completion.title_iv.low_inc.withdrawn_by.4yrs,LO_INC_WDRAW_ORIG_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 4 years"
,44,completion.title_iv.first_gen.transf_still_enrolled_2yr_by.4yrs,FIRSTGEN_ENRL_2YR_TRANS_YR4_RT,Percent of first-generation students who transferred to a 2-year institution and were still enrolled within 4 years
,45,completion.title_iv.no_pell.unknown_by.4yrs,NOPELL_UNKN_ORIG_YR4_RT,Percent of students who never received a Pell Grant at the institution and with status unknown within 4 years at original institution
,46,completion.title_iv.loan_recip.died_by.8yrs,LOAN_DEATH_YR8_RT,Percent of students who received a federal loan at the institution and who died within 8 years at original institution
,47,cost.net_price.program_reporter.by_income_level.0-48000,NPT4_048_PROG,"Average net price for $0-$48,000 family income (program-year institutions)"
,48,completion.title_iv.first_gen.completed_by.4yrs,FIRSTGEN_COMP_ORIG_YR4_RT,Percent of first-generation students who completed within 4 years at original institution
,49,completion.title_iv.female.transf_completed_4yr_by.6yrs,FEMALE_COMP_4YR_TRANS_YR6_RT,Percent of female students who transferred to a 4-year institution and completed within 6 years
,50,completion.title_iv.no_loan.unknown_by.8yrs,NOLOAN_UNKN_ORIG_YR8_RT,Percent of students who never received a federal loan at the institution and with status unknown within 8 years at original institution
,51,completion.title_iv.still_enrolled_by.4yrs,ENRL_ORIG_YR4_RT,Percent still enrolled at original institution within 4 years
,52,completion.title_iv.independ.unknown_by.3yrs,IND_UNKN_ORIG_YR3_RT,Percent of independent students with status unknown within 3 years at original institution
,53,completion.title_iv.first_gen.transf_completed_2yr_by.4yrs,FIRSTGEN_COMP_2YR_TRANS_YR4_RT,Percent of first-generation students who transferred to a 2-year institution and completed within 4 years
,54,academics.program.certificate_lt_2_yr.ethnic_cultural_gender,CIP05CERT2,"Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies."
,55,completion.title_iv.first_gen.transf_unknown_4yr_by.6yrs,FIRSTGEN_UNKN_4YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 6 years
,56,completion.title_iv.first_gen.unknown_by.3yrs,FIRSTGEN_UNKN_ORIG_YR3_RT,Percent of first-generation students with status unknown within 3 years at original institution
,57,academics.program_percentage.transportation,PCIP49,Percentage of degrees awarded in Transportation And Materials Moving.
,58,completion.title_iv.loan_recip.unknown_by.3yrs,LOAN_UNKN_ORIG_YR3_RT,Percent of students who received a federal loan at the institution and with status unknown within 3 years at original institution
,59,academics.program.certificate_lt_4_yr.military,CIP29CERT4,Award of more than two but less than four academic years in Military Technologies And Applied Sciences.
,60,completion.title_iv.mid_inc.transf_withdrawn_4yr_by.3yrs,MD_INC_WDRAW_4YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years"
,61,cost.title_iv.public.all,NUM4_PUB,Number of Title IV students (public institutions)
,62,cost.title_iv.other_acad_calendar.by_income_level.0-30000,NUM41_OTHER,"Number of Title IV students, $0-$30,000 family income (other academic calendar institutions)"
,63,completion.title_iv.independ.withdrawn_by.6yrs,IND_WDRAW_ORIG_YR6_RT,Percent of independent students withdrawn from original institution within 6 years
,64,completion.6_yr_completion.loan_students,LOAN_YR6_N,Number of loan students in overall 6-year completion cohort
,65,earnings.6_yrs_after_entry.percent_greater_than_25000,gt_25k_p6,"Share of students earning over $25,000/year (threshold earnings) 6 years after entry"
,66,completion.title_iv.transf_withdrawn_4yr_by.8yrs,WDRAW_4YR_TRANS_YR8_RT,Percent who transferred to a 4-year institution and withdrew within 8 years
,67,academics.program.certificate_lt_4_yr.philosophy_religious,CIP38CERT4,Award of more than two but less than four academic years in Philosophy And Religious Studies.
,68,completion.title_iv.died_by.8yrs,DEATH_YR8_RT,Percent died within 8 years at original institution
,69,completion.title_iv.low_inc.transf_unknown_2yr_by.2yrs,LO_INC_UNKN_2YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 2 years"
,70,student.demographics.avg_family_income_log,lnfaminc,Average of the log of family income
,71,completion.title_iv.male.still_enrolled_by.3yrs,MALE_ENRL_ORIG_YR3_RT,Percent of male students who were still enrolled at original institution within 3 years
,72,completion.title_iv.pell_recip.still_enrolled_by.3yrs,PELL_ENRL_ORIG_YR3_RT,Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 3 years
,73,earnings.8_yrs_after_entry.90th_percentile_earnings,pct90_earn_wne_p8,90th percentile of earnings of students working and not enrolled 8 years after entry
,74,completion.title_iv.depend.transf_still_enrolled_4yr_by.8yrs,DEP_ENRL_4YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 4-year institution and were still enrolled within 8 years
,75,completion.title_iv.independ.transf_still_enrolled_2yr_by.6yrs,IND_ENRL_2YR_TRANS_YR6_RT,Percent of independent students who transferred to a 2-year institution and were still enrolled within 6 years
